,year,sex,deaths
,2004,Female,7361783.4
,2005,Female,7389192.6
,2006,Female,7425215.1
,2007,Female,7487501.8
,2008,Female,7514058
,2009,Female,7570257.8
,2010,Female,7618888.5
,2011,Female,7660254.3
,2012,Female,7677488.1
,2013,Female,7720345.4
,2004,Male,9024053.9
,2005,Male,9130216.5
,2006,Male,9255953.6
,2007,Male,9365136
,2008,Male,9469088.2
,2009,Male,9601590.2
,2010,Male,9717225.7
,2011,Male,9839954.2
,2012,Male,9961484.7
,2013,Male,10073822.8
,2004,All,16385837.3
,2005,All,16519409.1
,2006,All,16681168.7
,2007,All,16852637.8
,2008,All,16983146.2
,2009,All,17171848
,2010,All,17336114.2
,2011,All,17500208.5
,2012,All,17638972.8
,2013,All,17794168.2
